column,observed_dtype,missing_count,missing_percent,non_missing_count
stamp_start,object,0,0.0,16067
stamp_end,object,0,0.0,16067
yaw_mean,float64,0,0.0,16067
pitch_mean,float64,0,0.0,16067
roll_mean,float64,0,0.0,16067
rotation_rate_x_mean,float64,0,0.0,16067
rotation_rate_y_mean,float64,0,0.0,16067
rotation_rate_z_mean,float64,0,0.0,16067
user_acceleration_x_mean,float64,0,0.0,16067
user_acceleration_y_mean,float64,0,0.0,16067
user_acceleration_z_mean,float64,0,0.0,16067
yaw_std,float64,3258,20.28,12809
pitch_std,float64,3258,20.28,12809
roll_std,float64,3258,20.28,12809
rotation_rate_x_std,float64,3258,20.28,12809
rotation_rate_y_std,float64,3258,20.28,12809
rotation_rate_z_std,float64,3258,20.28,12809
user_acceleration_x_std,float64,3258,20.28,12809
user_acceleration_y_std,float64,3258,20.28,12809
user_acceleration_z_std,float64,3258,20.28,12809
rotation_magnitude_mean,float64,0,0.0,16067
acceleration_magnitude_mean,float64,0,0.0,16067
rotation_magnitude_std,float64,3258,20.28,12809
acceleration_magnitude_std,float64,3258,20.28,12809
speed_mean,float64,0,0.0,16067
speed_std,float64,3258,20.28,12809
course_mode,float64,0,0.0,16067
course_std,float64,3258,20.28,12809
distance_from_home_mean,float64,0,0.0,16067
distance_from_home_std,float64,3258,20.28,12809
distance_from_home_latitude_mean,float64,0,0.0,16067
distance_from_home_latitude_std,float64,3258,20.28,12809
distance_from_home_longitude_mean,float64,0,0.0,16067
distance_from_home_longitude_std,float64,3258,20.28,12809
bearing_from_home_mode,float64,0,0.0,16067
bearing_from_home_std,float64,3258,20.28,12809
time_of_day_radians,float64,0,0.0,16067
time_of_day_sin,float64,0,0.0,16067
time_of_day_cos,float64,0,0.0,16067
day_of_week,float64,0,0.0,16067
activity_label,float64,16067,100.0,0
